"Step","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_spball_1.8B_mupinit_muplr5e-3_wd0.1_hard_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_muonw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MIN","evalv2_adamw_1.8B_muptinit_muplr5e-3_wd0.1_headfc1split - hidden-states-absmax/attention::o_proj__MAX"
"318","0.71484375","0.71484375","0.71484375","0.66796875","0.66796875","0.66796875","304","304","304"
"319","","","","","","","298","298","298"
"320","0.8203125","0.8203125","0.8203125","0.65234375","0.65234375","0.65234375","340","340","340"
"325","0.77734375","0.77734375","0.77734375","0.6875","0.6875","0.6875","310","310","310"
"326","0.73046875","0.73046875","0.73046875","0.78125","0.78125","0.78125","304","304","304"
"331","0.73046875","0.73046875","0.73046875","0.6953125","0.6953125","0.6953125","374","374","374"
"332","0.75390625","0.75390625","0.75390625","0.703125","0.703125","0.703125","364","364","364"
"336","0.83203125","0.83203125","0.83203125","0.6796875","0.6796875","0.6796875","342","342","342"
"337","0.78515625","0.78515625","0.78515625","0.64453125","0.64453125","0.64453125","346","346","346"
"338","0.76953125","0.76953125","0.76953125","0.69921875","0.69921875","0.69921875","398","398","398"
"344","0.85546875","0.85546875","0.85546875","0.66796875","0.66796875","0.66796875","342","342","342"
"347","0.796875","0.796875","0.796875","0.7265625","0.7265625","0.7265625","320","320","320"
"349","0.91015625","0.91015625","0.91015625","0.7109375","0.7109375","0.7109375","308","308","308"
"351","0.984375","0.984375","0.984375","0.71875","0.71875","0.71875","320","320","320"
"353","0.8984375","0.8984375","0.8984375","0.71484375","0.71484375","0.71484375","324","324","324"
"356","0.80078125","0.80078125","0.80078125","0.7109375","0.7109375","0.7109375","326","326","326"
"361","1.109375","1.109375","1.109375","0.7578125","0.7578125","0.7578125","324","324","324"
"362","0.890625","0.890625","0.890625","0.75390625","0.75390625","0.75390625","330","330","330"
"365","0.91796875","0.91796875","0.91796875","0.7265625","0.7265625","0.7265625","356","356","356"
"367","0.8828125","0.8828125","0.8828125","0.79296875","0.79296875","0.79296875","334","334","334"
"368","0.875","0.875","0.875","0.77734375","0.77734375","0.77734375","360","360","360"
"370","1.0859375","1.0859375","1.0859375","0.82421875","0.82421875","0.82421875","336","336","336"
"372","1.140625","1.140625","1.140625","0.81640625","0.81640625","0.81640625","356","356","356"
"377","1.0625","1.0625","1.0625","0.921875","0.921875","0.921875","346","346","346"
"378","1.2265625","1.2265625","1.2265625","1.0625","1.0625","1.0625","354","354","354"
"382","1.3046875","1.3046875","1.3046875","0.89453125","0.89453125","0.89453125","358","358","358"
"389","1.328125","1.328125","1.328125","1.0390625","1.0390625","1.0390625","380","380","380"
"390","1.2109375","1.2109375","1.2109375","0.86328125","0.86328125","0.86328125","378","378","378"
"392","1.21875","1.21875","1.21875","1.0234375","1.0234375","1.0234375","390","390","390"
"393","","","","","","","362","362","362"
"395","1.1875","1.1875","1.1875","0.9453125","0.9453125","0.9453125","364","364","364"
"397","1.15625","1.15625","1.15625","0.85546875","0.85546875","0.85546875","390","390","390"
"401","1.265625","1.265625","1.265625","1","1","1","414","414","414"
"405","1.265625","1.265625","1.265625","1.1796875","1.1796875","1.1796875","446","446","446"
"406","1.4765625","1.4765625","1.4765625","0.89453125","0.89453125","0.89453125","434","434","434"
"407","1.3125","1.3125","1.3125","1.0625","1.0625","1.0625","426","426","426"
"410","1.7578125","1.7578125","1.7578125","1.1484375","1.1484375","1.1484375","424","424","424"
"414","1.7109375","1.7109375","1.7109375","1.1328125","1.1328125","1.1328125","454","454","454"
"425","1.7109375","1.7109375","1.7109375","1.015625","1.015625","1.015625","568","568","568"
"426","1.4765625","1.4765625","1.4765625","1.3359375","1.3359375","1.3359375","484","484","484"
"427","1.7421875","1.7421875","1.7421875","1.0390625","1.0390625","1.0390625","576","576","576"
"428","1.5546875","1.5546875","1.5546875","1.2890625","1.2890625","1.2890625","510","510","510"
"430","1.53125","1.53125","1.53125","1.0234375","1.0234375","1.0234375","536","536","536"
"435","2.375","2.375","2.375","1.59375","1.59375","1.59375","664","664","664"
"441","1.984375","1.984375","1.984375","1.171875","1.171875","1.171875","564","564","564"
"442","1.6640625","1.6640625","1.6640625","1.359375","1.359375","1.359375","508","508","508"
"447","2.28125","2.28125","2.28125","1.515625","1.515625","1.515625","536","536","536"
"451","1.9453125","1.9453125","1.9453125","1.4453125","1.4453125","1.4453125","608","608","608"
"454","1.984375","1.984375","1.984375","1.3359375","1.3359375","1.3359375","580","580","580"
"455","1.640625","1.640625","1.640625","1.4140625","1.4140625","1.4140625","552","552","552"
"456","","","","","","","640","640","640"
