Step,Muon without wd,Spectral Sphere,Muon
1557,13.9375,4.71875,5.3125
1559,13.4375,5.15625,4.9375
1561,13.0625,4.53125,4.6875
1562,13.25,4.78125,4.75
1564,13.375,4.78125,5
1566,13.9375,5.125,5.40625
1569,13.875,4.8125,4.9375
1570,13.5625,4.6875,4.71875
1573,13.4375,4.8125,4.71875
1575,13.625,4.8125,4.6875
1576,13.4375,4.40625,4.625
1577,14,4.84375,5.1875
1578,13.875,4.4375,5
1586,13.5625,4.71875,4.875
1589,13.0625,4.46875,5
1590,14.1875,5.03125,5.34375
1593,13.75,4.65625,5.09375
1597,13.375,4.8125,4.9375
1599,13.6875,4.625,4.875
1601,14,4.3125,4.9375
1604,13.0625,4.78125,4.90625
1605,13.6875,4.75,5.03125
1608,13,4.84375,4.75
1609,13.9375,4.59375,4.90625
1611,13.375,4.5625,4.9375
1614,13.9375,4.71875,5.03125
1616,13.875,4.8125,4.84375
1617,13.5625,4.375,4.78125
1618,14.4375,4.78125,5.125
1619,13.25,4.96875,4.625
1621,13.625,4.4375,4.9375
1623,14.0625,4.75,4.90625
1624,13.5,4.5,4.90625
1628,13.5625,4.4375,4.75
1631,14.375,4.65625,4.625
1632,14.0625,4.875,5.21875
1633,13.9375,4.53125,4.84375
1634,13.75,4.40625,4.8125
1636,13.5625,4.5,4.65625
1637,14.0625,4.78125,5.09375
1638,13.8125,4.9375,4.90625
1642,14.6875,4.625,5.1875
1643,14.1875,5.0625,4.875
1644,13.75,4.84375,4.78125
1645,14.125,4.65625,4.75
1647,14.0625,4.90625,4.625
1648,13.8125,5.21875,5.0625
1649,13.6875,4.53125,4.53125
1651,13.9375,4.71875,4.75
1653,13.8125,4.6875,4.84375
1658,14.1875,4.4375,4.53125
1659,13.3125,4.4375,4.8125
1666,13.9375,4.25,4.96875
1671,14,4.4375,4.75
1673,13.875,4.125,4.71875
1674,13.875,4.625,4.9375
1676,13.1875,4.5,4.78125
1678,14.3125,4.90625,5.03125
1680,13.25,4.75,4.78125
1683,14.5,4.4375,5
1685,14.125,4.46875,4.96875
1687,13.75,4.75,4.90625
1691,15.125,5.1875,5.78125
1692,14.3125,4.1875,4.8125
1693,14.25,4.59375,4.75
1699,13.875,4.46875,4.875
1701,13.9375,4.1875,4.75
1703,14.4375,4.53125,4.875
1704,14.8125,4.90625,5.25
1706,13.875,4.625,4.84375
1708,14.625,4.21875,5.1875
1710,14.6875,4.5,5.0625
1712,15.125,4.90625,5.5625
1713,14.6875,4.5,4.875
1714,14.375,4.4375,4.96875
1715,14.1875,4.3125,4.875
1717,14,4.53125,4.90625
1719,14.1875,4.5625,4.84375
1721,15.1875,4.9375,5.125
1723,14.375,4.46875,4.96875
1725,14.75,4.53125,4.875
1726,14.9375,4.375,5.15625
1727,14.25,4.375,4.75
1728,15.375,4.625,5.1875
1731,14.625,4.6875,4.6875
1733,14.3125,4.59375,4.65625
1735,13.8125,4.4375,4.78125
1738,14.75,4.90625,5.1875
1739,14.4375,5.0625,4.6875
1742,14.4375,4.65625,4.9375
1751,14.4375,4.375,4.65625
1753,15.6875,4.8125,5.25
1754,14.875,4.28125,5.125
1755,15.5625,4.65625,4.8125
1761,15.5625,5.0625,4.78125
1762,15.0625,4.59375,4.96875
1763,14.5625,4.125,4.6875
1764,15.6875,4.65625,4.96875
1769,14.3125,4.6875,4.9375
1770,14.6875,4.46875,4.9375
1771,14.4375,4.65625,4.875
1774,15.0625,4.875,4.875
1780,14.5625,4.9375,4.78125
1781,14.6875,4.375,4.84375
1782,14.75,4.1875,4.9375
1783,14.5625,4.3125,4.71875
1784,14.875,4.625,5.09375
1786,15.0625,4.4375,4.90625
1789,15,4.625,5
1791,15.0625,4.25,5.15625
1792,14.9375,4.28125,4.65625
1793,15.3125,4.4375,4.96875
1794,15.625,4.75,4.71875
1795,14.875,4.28125,4.9375
1797,14.875,4.1875,4.65625
1799,14.4375,4.40625,4.71875
1801,14.5,4.5,4.84375
1802,15.625,4.28125,4.71875
1803,14.75,4.5625,5.125
1804,15.8125,4.46875,4.84375
1807,15,4.65625,4.75
1809,16,4.8125,4.84375
1810,14.9375,4.53125,4.8125
1811,15.375,4.5,4.90625
1813,14.9375,4.5625,4.625
1814,16,4.40625,4.75
1815,15.0625,4.53125,4.71875
1820,15.25,4.28125,4.90625
1821,14.8125,4.375,4.9375
1822,15.5625,4.53125,5
1823,15,4.625,4.84375
1824,15.625,4.53125,5.03125
1825,14.1875,4.4375,4.40625
1829,15.1875,4.28125,4.59375
1831,14.5,4.34375,4.84375
1833,14.9375,4.25,4.8125
1834,15.5,5,4.53125
1835,14.8125,4.0625,4.9375
1837,15.5625,4.21875,4.84375
1839,15.875,4.59375,4.6875
1841,15.75,4.3125,4.5625
1844,15.75,4.375,4.875
1846,15.25,4.46875,4.78125
1847,15.3125,4.875,4.78125
