Step,radius1,radius0.1,radius2,radius10,radius0.5
316,16.875,0.01953125,79.5,9536,2.28125
317,18.125,0.015075684,83.5,9344,2.21875
318,17.5,0.026733398,85,9664,2.296875
319,18.5,0.02746582,85.5,9728,2.25
320,18.25,0.026123047,86.5,9728,2.40625
321,18.875,0.028930664,84.5,9792,2.296875
322,19.375,0.031738281,87,10048,2.546875
323,18.375,0.018554688,89,9984,2.453125
324,18.625,0.034667969,87.5,10368,2.53125
325,18.875,0.031738281,87,10112,2.375
326,18.75,0.035400391,91.5,10368,2.4375
327,20.125,0.020751953,89.5,10368,2.453125
328,20.125,0.045166016,92,10432,2.609375
329,20.375,0.040771484,94,10560,2.515625
330,19.5,0.021362305,94,10816,2.75
331,21,0.021972656,96.5,10560,2.734375
332,20.25,0.062988281,92,10880,2.765625
333,22.5,0.046875,95.5,10944,2.78125
334,21.625,0.031005859,96,10880,2.90625
335,22.375,0.065429688,96.5,10880,3.03125
336,22.875,0.064941406,96.5,11136,3
337,22.75,0.031738281,99.5,11264,3
338,23.125,0.075683594,103,11328,3.234375
339,24.125,0.045410156,102.5,11520,3.171875
340,25.25,0.045898438,101,11520,3.1875
341,25.125,0.076171875,100,11840,3.171875
343,26,0.082519531,102,11776,3.328125
344,26.75,0.070800781,99,11968,3.125
347,26.375,0.065917969,105,12608,3.4375
348,26.875,0.111816406,100.5,12544,3.4375
349,26.875,0.086425781,106,12736,3.40625
351,28.25,0.110351563,103.5,12800,3.5625
352,29.125,0.104980469,106,12736,3.59375
353,29,0.08984375,110.5,12992,3.625
355,29.875,0.084472656,114,12800,3.640625
356,30.75,0.121582031,113,13056,3.765625
359,33.25,0.149414063,107.5,13440,3.90625
360,32.75,0.088867188,119.5,13632,3.96875
361,34,0.134765625,110,13760,4.125
362,33.5,0.142578125,112.5,13568,4.125
363,33.5,0.119628906,112,14080,4.1875
364,35.5,0.1484375,113,13568,4.15625
365,35.25,0.131835938,107.5,13824,4.28125
367,34.75,0.158203125,113,14272,4.625
368,37.75,0.200195313,124.5,13952,4.84375
370,33.5,0.130859375,128,13888,4.84375
371,39,0.151367188,121.5,13824,4.8125
372,37,0.1953125,122,13376,4.90625
373,38.25,0.140625,116.5,14208,4.9375
375,42.75,0.200195313,118,14976,5.59375
376,43.5,0.201171875,126,14016,5.28125
377,36.25,0.1953125,115.5,14912,5.5
378,39.75,0.213867188,128,15296,5.4375
379,39.25,0.182617188,130,15040,5.28125
381,39,0.244140625,134,15808,5.65625
382,40.25,0.19921875,134,13952,5.59375
383,40.75,0.271484375,132,15744,5.59375
384,42.5,0.169921875,121.5,15296,5.8125
385,44.5,0.259765625,136,13824,6.40625
386,43,0.265625,141,13504,5.9375
388,46.25,0.2734375,132,14592,6.125
389,43.75,0.182617188,129,15552,6.28125
390,46.75,0.227539063,119,15168,5.875
391,42.25,0.271484375,129,14208,6.71875
392,48.25,0.182617188,137,14464,6.21875
393,44.5,0.27734375,121,14912,6.34375
395,44.75,0.201171875,138,15552,6.5
397,46.25,0.2265625,139,15424,7.09375
398,44.5,0.283203125,139,16064,6.71875
400,49.75,0.349609375,127.5,16384,7.4375
401,47.25,0.32421875,129,15552,7
403,48.25,0.247070313,149,15424,7.4375
404,51.25,0.310546875,140,16256,7.5
405,49.5,0.30078125,131,15296,7.875
406,51.5,0.2734375,140,16320,7.78125
407,52.75,0.328125,148,16384,8.0625
409,53.25,0.2578125,138,17408,8.0625
410,61,0.326171875,141,15232,7.8125
411,51.75,0.349609375,132,17664,8.1875
412,53.25,0.310546875,146,14912,7.71875
414,58.25,0.3515625,140,15424,8.125
415,54.75,0.291015625,157,16640,8.6875
416,56,0.28125,143,16128,8.125
417,54,0.28125,160,16192,8.6875
418,62,0.349609375,149,16320,8.375
